city,osm_id,type,lat,lon,landuse,leisure,name
Abuja,560215243,way,8.9823035,7.2804457,farmland,,
Abuja,809640481,way,9.2423164,7.1891922,farmland,,
Abuja,810612167,way,9.2441679,7.1842511,farmland,,
Abuja,813506399,way,9.2359484,7.2136293,farmland,,
Abuja,817121471,way,9.2113824,7.2064784,farmland,,
Abuja,817121472,way,9.2111283,7.2066527,farmland,,
Abuja,817122990,way,9.2109562,7.2062376,farmland,,
Abuja,843336964,way,9.1747895,7.1836006,farmland,,
Abuja,843340304,way,9.2439113,7.1677747,farmland,,
Abuja,843340305,way,9.2439246,7.1678606,farmland,,
Abuja,843340306,way,9.2439511,7.1675499,farmland,,
Abuja,843340312,way,9.243877,7.1681032,farmland,,
Abuja,843340316,way,9.2441484,7.1674523,farmland,,
Abuja,843340336,way,9.2443468,7.1668578,farmland,,
Abuja,843340354,way,9.244142,7.1648255,farmland,,
Abuja,843340356,way,9.2438977,7.1653866,farmland,,
Abuja,843340365,way,9.2417541,7.1647431,farmland,,
